Species,X,Y
Bison,-517811.0604,320103.1437
Bison,-1018435.713,-136876.7482
Bison,-320880.0051,-332399.6502
Bison,-892619.0939,1025685.067
Bison,-664305.5984,1744990.316
Bison,-1004559.571,763590.7101
Bison,-387659.4925,214465.82
Bison,-1108114.769,61074.4519
Bison,51673.0508,-113736.6037
Bison,-43082.8814,-444865.4066
Bison,-848631.6505,1017346.634
Bison,-431350.0122,664631.0218
Bison,-1176412.893,1057202.13
Bison,-970606.0977,-194773.1533
Bison,-933756.027,-241187.9265
Bison,20115.0451,-477134.589
Bison,-736451.9047,1026176.263
Bison,-1022617.261,999120.9713
Bison,-711967.7523,1774928.842
Bison,-418945.4487,857062.0116
Bison,-709311.0602,1777376.589
Bison,-958960.217,130220.1979
Bison,-357366.2625,-309339.5893
Bison,-1027340.618,-11449.2832
Bison,-789874.3532,-108809.6373
Bison,-894920.9042,-49323.3157
Bison,-983692.0439,126534.7028
Bison,-890886.1153,162341.8355
Bison,-524415.866,857763.2306
Bison,-850753.5909,329853.1254
Bison,-924561.2722,-246674.5179
Bison,-64695.1388,204346.121
Bison,-1117047.791,900508.1215
Bison,-967216.6151,-189779.9166
Bison,-967535.5341,-188515.8219
Bison,-826659.0655,-157583.119
Bison,-666487.1686,1759740.433
Bison,-194248.8814,713210.8456
Bison,-472879.0063,847383.015
Bison,-458094.8332,852852.2694
Bison,-447190.7074,893657.5385
Bison,-986662.0929,103347.6639
Bison,-1018048.681,-150712.4765
Bison,-921244.316,-42614.6848
Bison,-797033.3392,985147.7187
Bison,-1039128.089,83535.6639
Bison,-133154.4283,731653.5082
Bison,-937210.488,-49942.6713
Bison,-1042678.659,73539.963
Bison,-663549.0388,1749565.679
Bison,-1166214.896,1391368.414
Bison,-736142.7427,654554.9796
Bison,-997233.5853,44531.0572
Bison,-913940.2767,862765.087
Bison,-1047792.368,126119.7801
Bison,-657806.7715,1269409.804
Bison,-707463.8263,1880320.009
Bison,-1032588.107,924422.9078
Bison,-1053223.697,51777.3002
Bison,-347823.7641,-317311.2736
Bison,-1053391.271,51963.8657
Bison,2331.7165,-80589.9119
Bison,-1054199.358,52205.4151
Bison,-1024113.736,-140852.1722
Bison,-936216.7444,162317.1051
Bison,-1109371.501,849335.9659
Bison,-1048284.355,143401.6495
Bison,-1206472.734,1011706.326
Bison,-504973.4933,324243.9615
Bison,-1146583.161,-74271.6271
Bison,-993476.5005,96257.7302
Bison,-848269.497,817375.1873
Bison,-897768.9067,-49545.6181
Bison,-1038209.539,83011.6781
Bison,-993695.0501,96885.933
Bison,-866765.9609,877431.6622
Bison,-1047552.786,52849.3346
Bison,-460935.7334,798635.7341
Bison,-1015167.123,-136539.8046
Bison,-108759.237,-424004.2168
Bison,-1279347.605,1417860.722
Bison,-600657.1815,404398.6632
Bison,-1052542.472,155206.8565
Bison,-1039705.427,82060.758
Bison,-637615.135,-81353.6666
Bison,-1003210.463,-127655.2972
Bison,-1171964,-80246.809
Bison,-1222403.667,1394618.081
Bison,-968475.5965,964181.0026
Bison,-488938.8541,335837.7198
Bison,-759831.8216,-238146.4129
Bison,-1028386.724,-165605.0569
Bison,-431285.9466,899402.833
Bison,-265976.2026,350186.4304
Bison,-1052782.711,-170735.4275
Bison,-980131.181,967820.3975
Bison,-1047781.322,53089.1298
Bison,-772704.9002,883339.1028
Bison,-968203.4849,978715.1596
Bison,-555676.8428,805285.5801
Bison,-552190.486,659083.1449
Bison,-782883.7799,375788.9975
Bison,-486374.4939,732438.243
Bison,-102996.3968,610095.8189
Bison,-712381.781,-253553.4908
Bison,-865806.7964,915247.9528
Bison,-387409.0221,-299322.3814
Bison,-657091.9666,330610.8181
Bison,-711191.9538,1832962.097
Bison,-1023417.879,119425.3724
Bison,-941973.0956,-52250.0899
Bison,-1074034.449,-195477.0179
Bison,72961.8969,-182121.1881
Bison,-459174.2332,-223628.503
Bison,-985562.4285,106897.367
Bison,-491755.7684,673179.1572
Bison,-1106881.466,60544.2043
Bison,-857591.4679,1041325.638
Bison,-1099376.123,932983.7906
Bison,-914435.8214,42980.6387
Bison,-922515.3263,165181.0957
Bison,-1046959.606,123698.0504
Bison,-507501.2267,806940.3899
Bison,-711260.2526,1868112.976
Bison,-1047611.052,28869.9672
Bison,-1046303.233,127090.6844
Bison,-475919.3408,686581.3855
Bison,-1032523.953,-62705.9706
Bison,-954163.5648,-69859.0936
Bison,-523256.1928,858379.2281
Bison,-524975.8017,788811.688
Bison,-1082742.041,943391.5287
Bison,-259461.0631,341291.4172
Bison,-1102758.361,1051352.338
Bison,-741179.7393,568002.4169
Bison,-966361.01,-871.3217
Bison,-421615.2996,-252844.3039
Bison,-985699.6907,-4652.4023
Bison,-150003.7557,-112135.3315
Bison,-922754.5848,862598.0579
Bison,-370102.3574,907402.9908
Bison,-1055853.611,154358.1566
